uuid,name,address,city,zip,exists_file1,exists_file2,number_of_occurrences
5fb3c9663c2fc7a1fee3763e266df9487b1effba3249df7095d85c6c7d46c68f,J  D PRODUCE,P O BOX 1548,EDINBURG,78540,true,false,6
cd33e2d21f9dd03eff908c2513f81a0c2aac6f6e4fb647e7fcc4d14112d91d1a,SUN TAN CITY NEW ENGLAND,281 STATE STREET,AUGUSTA,4330,true,false,6
558718b65ef9d489c8e117aa35912882a366ad139b227a4791f862917229854b,TOOL WORKS INC,25 KEARNEY STREET SUITE 400,SAN FRANCISCO,94108,true,false,6
a10fc7b128fbe8a26628293cae1b2502a5df39abaa53de5f2f0733ba1f2a5c07,MUNGER BROS LLC,2619 ROAD 192,DELANO,93215,true,false,6
18529fe85d6b0d2cdbbb6d96903a4678dcef48efa9ff7fed20403238e7bb4860,WMS SOLUTIONS LLC,1301 WARNER STREET,BALTIMORE,21230,true,false,6
371498484c39f884317f00f9a87db74856bf866cb489d5764bdcf770dabc7488,CRUZ RUFINO,2513 BUSTAMANTE STREET,WESLACO,78596,true,false,6
50c3cbb85f3ba91e9a3e0916d9749d1841d604383399f447f1cf88e3ac9e1a2b,ABLE INDUSTRIES OF THE PACIFIC,341 SOUTH MARINE CORPS DRIVE,TAMUNING,96913,true,false,6
33e02b2b225ad4070f17b685cfff162c1d2595dd196ee25175578858497db34f,CABLEVISION SYSTEMS CORPORATION,6 CORPORATE CENTER DRIVE,MELVILLE,11747,true,false,6
a0542b36a886cbf8807e6427003d83e2fe888019e76c466b0f8855e40d19a29a,WILLIAM J LANG LAND CLEARING INC,2520 GLIDDEN ROAD,BEAVERTON,48612,true,false,6
fa3e6f914f09836005b13597b8f96b296de4540d1f782dead0db6ce16e30fc55,PLEASANT CARE CORPORATION,2258 FOOTHILL BLVD SUITE 6,LA CANADA FLINTRIDGE,91011,true,false,6
46564617eea33ef2f64b1525c07e5382f7b1c24e7a003c0d1569736e13d0cc09,CRACAR CONSTRUCTION COMPANY INC,2424 S 3270 W,SALT LAKE CITY,84119,true,false,6
